livingroom	-0.815 0.188 0.0 0.0 0.0 0.632 0.775
workroom	-6.112 3.721 0.0 0.0 0.0 0.997 0.073
kitchen	-7.315 0.283 0.0 0.0 0.0 0.999 0.050
bedroom	-7.223 -1.793 0.0 0.0 0.0 0.996 0.086
bathroom	-5.090 -3.288 0.0 0.0 0.0 -0.757 0.654
closet	-3.505 -2.258 0.0 0.0 0.0 -0.073 0.999
balcony	2.638 0.518 0.0 0.0 0.0 -0.757 0.654
real_entrance	-3.729 2.834 0.000 0.000 0.000 -0.764 0.646
real_kitchen	5.11 -0.4  0.0 0.0 0.0 -0.079 0.997
real_bedroom	2.94 -3.78  0.0 0.0 0.0 -0.764 0.646
real_livingroom	7.0 8.0  0.0 0.0 0.0 -0.088 0.996

